,country_code,country_name,year,child_employment_rate,log_child_employment_rate,log_gdp_per_capita_ppp,agriculture_value_added_pct,primary_school_enrollment,life_expectancy,urban_population_pct,rural_electricity_access,child_population_pct,youth_unemployment_rate,log_private_consumption_per_capita,governance_index
131,JAM,Jamaica,2022,9.258319841698155,2.3280890682137105,9.21761867369542,8.099365101753357,90.7408676147461,71.481,57.008,100.0,19.5798451927764,13.117,,1.6645234163022264
132,KEN,Kenya,2021,3.809060052786817,1.5705016498005917,8.58295329745777,21.47707509572517,,61.225,28.493,68.2,38.6874677694824,12.232,7.135302065789203,0.2314304634897752
133,KEN,Kenya,2022,3.448720500640088,1.492616526888016,8.611174084984132,21.03619206499328,,63.549,29.002,65.0,38.0712456350252,12.187,7.146393940481917,0.2847638546677632
134,KGZ,Kyrgyz Republic,2018,8.202436544644092,2.219468290799734,8.691621808685616,11.675286484238448,100.821829500418,71.4,36.351,100.0,32.3299691629984,7.217,6.948883064841654,-0.5271627980895678
136,KHM,Cambodia,2012,4.102368378543317,1.6297048198852373,8.333309665279005,26.795349937528297,120.336936950684,68.371,21.037,28.5,32.4283491051289,0.682,6.918062076254573,-0.77672422826003
137,KHM,Cambodia,2017,3.3729031033480674,1.4754271142497948,8.63640298766178,17.868177158358588,110.514587402344,69.842,22.98,86.1,31.7040309990949,0.382,7.1283043508686665,-0.9369378196618066
138,KHM,Cambodia,2020,4.187240918555577,1.64620194089863,8.720914536918917,17.039652291143486,111.00936126709,70.059,24.232,82.9,31.0778017734446,0.474,7.156048727886399,-0.6552663582278271
139,KHM,Cambodia,2021,3.80990342251261,1.5706770054363877,8.736574900626277,16.904414371009576,108.737748740777,69.301,24.668,77.1,30.7812858676309,0.83,7.11656323520681,-0.5830674927532923
140,KHM,Cambodia,2023,2.3417840716491582,1.2065048175679465,8.809309211522523,17.078447245559193,111.392143004927,70.668,25.57,93.4,30.1105571746776,0.695,7.186017140164373,-0.4721349073936466
141,KIR,Kiribati,2019,9.31761702923729,2.3338528253704127,7.982240463912079,26.97835872298845,104.128310837522,65.866,54.835,90.1,35.1362365387486,,7.467741057828692,2.154310573402383
142,LAO,Lao PDR,2017,29.566333861336208,3.4198992026834403,8.913746659628826,16.19975985619791,107.5012462198,67.345,34.368,90.5,32.5273323571022,5.779,,-0.35441110092357986
143,LAO,Lao PDR,2022,5.864798229108919,1.9264066475438546,9.009940323352447,14.868882228227642,97.2226134363857,68.715,37.592,100.0,30.9169093958433,2.184,,-0.40726668013190576
144,LBN,Lebanon,2019,0.31177883366766196,0.2713841044124098,9.6589011185722,3.169099851502452,,78.208,88.758,99.6,27.9082883114848,23.28,8.917737772809742,-0.742489938474051
145,LSO,Lesotho,2018,9.459051053764295,2.3474677330838905,7.954167996488632,4.249775434305065,100.601681516616,54.638,28.153,,36.2917847246042,24.901,6.767488628868794,0.31721989288368657
146,MDG,Madagascar,2018,27.260246391069593,3.341456095939874,7.426421821856277,23.973383300586143,136.93602734389,63.491,37.191,16.0,40.9322941985732,4.193,5.797662859119435,-0.8944071917358086
147,MDG,Madagascar,2022,4.570238184936615,1.717437815132032,7.3800772709489655,21.544235787842723,138.19226558666,63.068,39.882,10.9,39.8661354559159,5.602,5.776514148274375,-0.7727678204309916
